"Data Source","World Development Indicators",

"Last Updated Date","2023-09-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Indonesia","IDN","Intentional homicides (per 100,000 people)","VC.IHR.PSRC.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.845779939736062","0.99053583061824","1.02955812082501","","","0.732920527687897","0.628046750109353","","","","","","","","","","","","","","","","","","",
"Indonesia","IDN","Internally displaced persons, new displacement associated with disasters (number of cases)","VC.IDP.NWDS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","221000","854000","409000","7400","104000","427000","943000","204000","1204000","375000","853000","463000","705000","749000","308000",
"Indonesia","IDN","Voice and Accountability: Percentile Rank, Upper Bound of 90% Confidence Interval","VA.PER.RNK.UPPER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.5","","30.348258972168","","52.2388076782227","","48.2587051391602","45.2736320495605","48.0769233703613","54.3269233703613","51.4423065185547","53.3653831481934","52.8846168518066","54.9763031005859","54.028434753418","54.9295768737793","56.8075103759766","56.3380279541016","59.1133003234863","58.6206893920898","57.6354675292969","57.1428565979004","58.4541053771973","57.487922668457","57.0048294067383","57.9710159301758","",
"Indonesia","IDN","Voice and Accountability: Estimate","VA.EST","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-0.923689842224121","","-1.02446973323822","","-0.270175904035568","","-0.271903306245804","-0.29938605427742","-0.255447417497635","-0.121925517916679","-0.0842525288462639","-0.0198048055171967","-0.0112615153193474","-0.000997999450191855","-0.0377484634518623","-0.00853101350367069","0.0676126480102539","0.0361213013529778","0.153921663761139","0.18487124145031","0.167968854308128","0.131623446941376","0.154347538948059","0.132110148668289","0.101115196943283","0.155217528343201","",
"Indonesia","IDN","High-technology exports (current US$)","TX.VAL.TECH.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7056094816","7277410746","7229370907","6492910377","6585887873","5889536968","5415601725","5971475926","6382014753","6281266981","6408687624","7492072748","",
"Indonesia","IDN","Merchandise exports to low- and middle-income economies within region (% of total merchandise exports)","TX.VAL.MRCH.WR.ZS","9.30631868131868","14.9480519480519","17.106051527861","13.7672641786659","12.1652100366507","9.21147470087934","5.39193475305845","4.72404831065586","7.69745649263722","7.59433962264151","5.61533592549055","4.71859010801592","2.20642175949439","1.15567216391804","1.41012000161618","1.48266005829262","1.34208555649162","1.40047758221698","2.04675851169822","1.72481304361781","1.27076688614202","2.24272688710348","1.77597645153642","1.79520084546647","1.78568166456586","2.49217834449689","3.05274956784788","3.6687100135641","4.91730526098511","5.5013935464506","5.91888367911858","7.35456397603178","7.85044097863417","7.79439787179012","7.94207962524177","9.8555578404344","10.3981157395051","11.0009651711107","11.1954420457764","11.0704414245004","11.4862955714737","11.3459099817821","13.1712983351564","15.0869840494821","16.3172710711723","17.2243579639055","17.855663052157","18.9074430635864","19.0867512662575","22.4371155562048","22.5948916091495","23.1594289601321","24.6252754672897","25.7224982355712","23.2439151379529","24.2236409706569","24.5828438646362","29.590165161298","30.583415133896","33.8423066540456","35.2969450176222","","",
"Indonesia","IDN","Merchandise exports to low- and middle-income economies in South Asia (% of total merchandise exports)","TX.VAL.MRCH.R5.ZS","1.69986263736264","0.558441558441558","0.224685440383463","0.999118424919189","0.817592331547787","0.331555427418192","0.876000604138348","0.259899097997248","0.0133868808567604","0.0117924528301887","0.00904240889773036","","0.0282151120139947","0.168665667166417","0.498323209740199","0.692752847749257","0.450482074323692","0.778145542719637","0.518775552272649","0.408254966781141","0.391496584671403","0.310789868250295","0.199517757527769","0.221746227955122","0.431121097532014","0.676801668619841","0.826490924805532","0.82665316078404","0.9092551023041","0.820259330286713","0.783331111679731","0.771045551674321","0.888106354661611","1.11941522528989","1.46850133895346","1.53439502537752","1.78580343670626","2.17869089077813","2.61634911948079","3.03027772184513","2.81691347075522","2.90410742922546","3.4907534383012","4.08335714465402","4.3919546121663","4.95791710000731","4.97855975609756","6.115960696142","6.82257530907497","7.89021307377683","7.61623374340058","7.90716789731544","8.1215186647512","8.76314806356545","9.18044135411703","10.2928255683443","10.0261982082048","10.9320869503092","10.5811013036259","9.59392161240199","9.03778885840071","","",
"Indonesia","IDN","Merchandise exports to low- and middle-income economies in East Asia & Pacific (% of total merchandise exports)","TX.VAL.MRCH.R1.ZS","9.30631868131868","14.9480519480519","17.106051527861","13.7672641786659","12.1652100366507","9.21147470087934","5.39193475305845","4.72404831065586","7.69745649263722","7.59433962264151","5.61533592549055","4.71859010801592","2.20642175949439","1.15567216391804","1.41012000161618","1.48266005829262","1.34208555649162","1.40047758221698","2.04675851169822","1.72481304361781","1.27076688614202","2.24272688710348","1.77597645153642","1.79520084546647","1.78568166456586","2.49217834449689","3.05274956784788","3.6687100135641","4.91730526098511","5.5013935464506","5.91888367911858","7.35456397603178","7.85044097863417","7.79439787179012","7.94207962524177","9.8555578404344","10.3981157395051","11.0009651711107","11.1954420457764","11.0704414245004","11.4862955714737","11.3459099817821","13.1712983351564","15.0869840494821","16.3172710711723","17.2243579639055","17.855663052157","18.9074430635864","19.0867512662575","22.4371155562048","22.5948916091495","23.1594289601321","24.6252754672897","25.7224982355712","23.2439151379529","24.2236409706569","24.5828438646362","29.590165161298","30.583415133896","33.8423066540456","35.2969450176222","","",
"Indonesia","IDN","Merchandise exports to economies in the Arab World (% of total merchandise exports)","TX.VAL.MRCH.AL.ZS","0.360576923076923","","","","0.0845785170566676","","0.135931128228364","0.122305457881058","","0.0117924528301887","","","0.32165227695954","","0.0511791404598042","0.198532828318385","0.183703079659272","0.629707826632123","0.645033840656887","0.481432743845685","0.349061640179048","0.604780284162736","0.615105194171934","0.956811383602102","1.142653586891","1.73044048553397","2.23638720829732","1.70919273243799","2.78917356864566","2.95331692849662","2.97935760077331","3.70293090749938","4.02406065586509","4.14843701131571","3.79102942363383","3.44875486704311","3.33920986912017","3.73042286439179","4.03951095945584","3.86327336700762","3.25743188741823","3.63493178556027","3.44192082815625","3.03844954306787","3.02215797309572","2.99649178289594","3.13254500377373","3.49316315992665","4.05388470480783","3.47548451597381","3.0272546631681","3.02302163275134","3.31191239475457","3.46161932983479","4.524205467066","4.59641372869748","4.09704958931938","3.57528188221483","3.17234197112374","3.55132808844279","3.32737899181697","","",
"Indonesia","IDN","ICT goods exports (% of total goods exports)","TX.VAL.ICTG.ZS.UN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.3145749399","9.1177931933","8.1062710209","6.0893134299","5.2808182076","4.7562764182","5.9401687703","4.9831784964","3.8550393571","4.0589355432","3.6152724723","3.4740108824","3.5210174223","3.3692046717","2.9851496046","2.8819493047","3.0069090071","3.3314600844","2.9165543648","",
