p,AIC
3,3123.0700684477324
5,3123.708523214532
6,3126.855598111076
4,3129.194025867633
2,3130.0916683872815
7,3133.3955581171112
1,3134.3333434279093
8,3137.149014146279
9,3140.367175291474
10,3147.838963184904
11,3153.4549207701407
12,3157.7047924408353
13,3164.096572879076
14,3283.2712407221416
