"(p,q,P,Q)",AIC
"(5, 2, 0, 0)",1243.9062389264334
"(7, 2, 0, 0)",1245.4073343248197
"(0, 4, 0, 0)",1246.8311559755812
"(6, 1, 0, 0)",1249.614611340625
"(4, 1, 0, 0)",1251.3295440328566
"(5, 1, 0, 0)",1252.9380532542261
"(1, 2, 0, 0)",1254.330013174144
"(1, 3, 0, 0)",1254.889991338222
"(2, 2, 0, 0)",1254.9895509409762
"(3, 2, 0, 0)",1255.9290272119915
"(1, 4, 0, 0)",1256.4446434845236
"(2, 3, 0, 0)",1256.8387309622365
"(3, 1, 0, 0)",1257.5699806972352
"(3, 3, 0, 0)",1258.6474679405424
"(0, 3, 0, 0)",1259.0506957958119
"(2, 1, 0, 0)",1259.880775739589
"(0, 2, 0, 0)",1260.3701231540745
"(1, 1, 0, 0)",1263.8617360071169
"(8, 0, 0, 0)",1263.9835769872311
"(9, 0, 0, 0)",1265.9801330825676
"(7, 1, 0, 0)",1269.2856518908568
"(0, 1, 0, 0)",1273.7404914232443
"(7, 0, 0, 0)",1278.5037370451646
"(6, 0, 0, 0)",1279.2811859620122
"(4, 0, 0, 0)",1280.6724859608216
"(5, 0, 0, 0)",1281.7321568539726
"(3, 0, 0, 0)",1300.2823351909153
"(2, 0, 0, 0)",1302.9131959558745
"(1, 0, 0, 0)",1308.1521940848415
"(0, 0, 0, 0)",1311.9192685371177
