"(p,q,P,Q)",AIC
"(2, 0, 1, 1)",901.594004623242
"(3, 2, 0, 0)",901.6028536960363
"(3, 3, 3, 2)",901.6342836270635
"(2, 2, 0, 1)",901.6478817625423
"(0, 1, 2, 0)",901.6591413472715
"(1, 0, 3, 0)",901.6729662705721
"(0, 1, 0, 1)",901.7208228894418
"(0, 1, 0, 2)",901.7466181304933
"(3, 1, 0, 0)",901.7494219844101
"(3, 3, 0, 1)",901.8110119320831
"(2, 2, 2, 0)",901.8607678153005
"(1, 2, 2, 2)",901.8641539873191
"(2, 3, 1, 1)",901.8696906272116
"(2, 1, 2, 2)",901.8970589390765
"(1, 3, 2, 0)",901.9284170740083
"(2, 3, 1, 0)",901.9286170953543
"(1, 1, 1, 0)",902.02553058376
"(1, 1, 2, 0)",902.0373600185043
"(2, 2, 0, 2)",902.0719651556061
"(2, 3, 0, 1)",902.0877858492157
"(1, 3, 0, 2)",902.0978339148523
"(3, 3, 1, 1)",902.117400270747
"(0, 3, 3, 0)",902.1891516231532
"(1, 1, 0, 1)",902.2211526445648
"(1, 1, 0, 2)",902.2383540496542
"(2, 0, 2, 0)",902.2888678101853
"(2, 0, 1, 0)",902.3312731397364
"(3, 0, 1, 1)",902.3497851889042
"(1, 0, 0, 3)",902.354262625288
"(0, 2, 0, 0)",902.3945571878432
"(2, 0, 0, 2)",902.4584658551474
"(0, 2, 1, 1)",902.4602493417981
"(3, 2, 3, 1)",902.4944130595113
"(0, 3, 0, 3)",902.515602739858
"(3, 2, 1, 1)",902.5406766214782
"(2, 0, 0, 1)",902.5418891078205
"(0, 0, 2, 2)",902.565880237392
"(3, 0, 1, 0)",902.5891734738782
"(3, 2, 1, 0)",902.5939388736471
"(0, 1, 3, 0)",902.7138951597487
"(3, 0, 0, 1)",902.7539616725147
"(3, 3, 0, 0)",902.7862884708478
"(0, 0, 1, 2)",902.8089821505754
"(3, 2, 0, 1)",902.8193797803237
"(2, 3, 2, 0)",902.8460546144597
"(3, 0, 2, 0)",902.9116982210071
"(3, 3, 0, 2)",902.951036106334
"(1, 2, 0, 0)",902.9596967794782
"(2, 1, 0, 0)",902.9665078749174
"(2, 3, 0, 2)",902.993322752542
"(3, 3, 2, 0)",903.0682043205226
"(3, 1, 2, 0)",903.1202901929761
