"(p,q,P,Q)",AIC
"(2, 2, 2, 0)",1717.4575135383645
"(1, 0, 0, 1)",1717.5295382951626
"(3, 0, 3, 2)",1717.5489535837514
"(0, 1, 1, 0)",1717.5619875780617
"(0, 0, 0, 2)",1717.6473038130666
"(1, 2, 3, 1)",1717.6551635903602
"(2, 0, 3, 2)",1717.735658936021
"(0, 1, 0, 1)",1717.7453595578388
"(3, 1, 2, 1)",1717.7467832133066
"(1, 3, 1, 2)",1717.7591472175714
"(2, 2, 2, 3)",1717.8257445895042
"(2, 1, 3, 1)",1717.8691834437218
"(3, 0, 3, 0)",1717.9004748886791
"(0, 0, 3, 0)",1717.9011836360244
"(1, 0, 2, 3)",1717.9423210694504
"(1, 3, 1, 3)",1717.94941372841
"(2, 2, 3, 2)",1717.9971846319772
"(2, 0, 0, 2)",1718.0082158346208
"(2, 0, 2, 0)",1718.0148135585534
"(3, 0, 2, 1)",1718.0288271881018
"(0, 0, 2, 0)",1718.0570336293972
"(0, 2, 3, 2)",1718.0652196796482
"(0, 0, 0, 3)",1718.0673385050395
"(2, 0, 1, 1)",1718.0964512817986
"(0, 0, 1, 1)",1718.119336002997
"(3, 0, 0, 3)",1718.1674287310052
"(3, 1, 1, 2)",1718.1825262507969
"(2, 3, 3, 3)",1718.260119012271
"(1, 3, 3, 3)",1718.282532439976
"(1, 0, 3, 2)",1718.3508828827557
"(2, 3, 2, 3)",1718.4228419457547
"(0, 1, 3, 2)",1718.4421415263237
"(0, 1, 2, 3)",1718.4508106243081
"(0, 2, 0, 2)",1718.5673749351122
"(3, 0, 0, 0)",1718.5694213317986
"(3, 1, 1, 3)",1718.5851257876984
"(0, 2, 2, 0)",1718.658387840413
"(2, 0, 3, 0)",1718.662731801252
"(3, 0, 1, 2)",1718.6756036526258
"(0, 3, 2, 0)",1718.6873666296153
"(2, 0, 0, 3)",1718.7217704270547
"(0, 2, 1, 1)",1718.7454262658373
"(0, 0, 3, 3)",1718.7846950477851
"(0, 3, 0, 2)",1718.7939400186897
"(0, 0, 2, 1)",1718.8053603556568
"(0, 3, 1, 1)",1718.8706306834638
"(1, 3, 3, 1)",1718.960014260404
"(2, 0, 2, 1)",1718.9903281523443
"(1, 0, 0, 2)",1719.0245056820688
"(2, 0, 0, 0)",1719.0749160015384
"(0, 0, 1, 3)",1719.1614589394771
"(0, 2, 3, 0)",1719.1621062626803
"(0, 1, 0, 2)",1719.1627422514011
"(0, 2, 0, 3)",1719.2188442409958
"(0, 3, 3, 2)",1719.2195916550422
"(1, 0, 2, 0)",1719.2329558506262
"(0, 0, 1, 2)",1719.2379648784056
"(2, 2, 3, 3)",1719.2996497740867
"(1, 0, 1, 1)",1719.3073632797993
"(1, 0, 3, 0)",1719.3721691231108
"(0, 3, 3, 0)",1719.41427133772
"(0, 1, 2, 0)",1719.4163706868512
"(3, 1, 3, 1)",1719.4714313625145
"(0, 1, 3, 0)",1719.4823824522077
"(0, 1, 1, 1)",1719.488216265469
"(3, 0, 1, 3)",1719.5025695533407
"(0, 3, 2, 1)",1719.5622123105206
"(1, 0, 0, 3)",1719.5832691235069
"(0, 2, 2, 1)",1719.5854169006325
"(2, 0, 3, 3)",1719.6873209933292
"(0, 1, 0, 3)",1719.6880593152869
"(0, 3, 0, 3)",1719.728905349426
"(3, 1, 3, 3)",1719.7756604722258
"(2, 0, 1, 2)",1719.805373454524
"(0, 0, 3, 1)",1719.8927536053086
"(3, 0, 3, 1)",1719.9504340180165
"(3, 0, 3, 3)",1720.0681861064104
"(1, 0, 2, 1)",1720.0821643495433
"(0, 2, 3, 3)",1720.0998607434913
"(2, 0, 1, 3)",1720.208119723552
"(0, 1, 2, 1)",1720.2415254362802
"(0, 2, 1, 2)",1720.2928470238385
"(1, 0, 3, 3)",1720.35659296609
"(0, 1, 3, 3)",1720.4187825734853
"(0, 3, 1, 2)",1720.6229276082752
"(0, 2, 1, 3)",1720.6320581517198
"(1, 0, 1, 2)",1720.7055344118328
"(1, 0, 1, 3)",1720.7651112789213
"(0, 1, 1, 2)",1720.819667594782
"(0, 1, 1, 3)",1720.8407883314876
"(2, 0, 3, 1)",1720.8577394446793
"(0, 3, 1, 3)",1721.0048057119463
"(0, 3, 3, 3)",1721.3092558846215
"(0, 2, 0, 0)",1721.3654687729818
"(0, 2, 3, 1)",1721.4602576976572
"(0, 3, 3, 1)",1721.5186932369388
"(1, 0, 3, 1)",1721.9010844754994
"(0, 1, 3, 1)",1722.1481028985665
"(0, 3, 0, 0)",1722.24705244615
"(1, 0, 0, 0)",1722.254581266871
"(0, 0, 0, 0)",1722.5728846991615
"(0, 1, 0, 0)",1722.8821432824088
"(3, 2, 1, 0)",1724.7939538953374
"(3, 2, 2, 2)",1724.986033421123
"(3, 2, 0, 1)",1725.2407364813566
"(3, 2, 0, 2)",1726.117595928562
"(3, 2, 3, 2)",1726.4109706828553
"(3, 2, 1, 1)",1726.9240163497554
"(3, 2, 2, 0)",1726.925915520516
"(3, 2, 2, 3)",1727.0647414904215
"(3, 2, 3, 0)",1727.09842374454
"(3, 2, 0, 3)",1727.1166762770567
"(3, 2, 2, 1)",1727.9556419034943
"(3, 2, 1, 2)",1728.0409469639108
"(3, 2, 3, 3)",1728.185079330116
"(3, 2, 1, 3)",1728.6208110230277
"(3, 2, 3, 1)",1729.9818493690257
