,t,Y_t,T_t,(SCI)_t,S_t,(TCI)_t,(CI)_t,C_t,I_t
0,1,232.7,261.99963337,0.8881691817918591,0.7796729223291214,298.4584860339306,1.1391561209264855,,
1,2,309.2,262.75855246000003,1.1767457123857834,1.0156554905263715,304.43393737748085,1.158607149138657,1.1178759263416504,1.036436264380702
2,3,310.7,263.51747155000004,1.1790489570671503,1.116666908549372,278.23874570047116,1.0558645089598087,1.077827254332736,0.9796231304370531
3,4,293.0,264.27639064000005,1.108687761666639,1.0880046785951354,269.3003125485917,1.0190101048997422,1.022472645053814,0.9966135620636681
4,5,205.1,265.03530973,0.7738591518576976,0.7796729223291214,263.05902658168964,0.9925433213018912,0.9599483688862674,1.0339549016093859
5,6,234.4,265.79422882,0.8818852126346932,1.0156554905263715,230.78691759793506,0.8682916804571689,0.9398919346771585,0.9238207589848259
6,7,285.4,266.55314791,1.0707057944645377,1.116666908549372,255.58203419026222,0.9588408022724154,0.9055449455404919,1.0588550098969554
7,8,258.7,267.312067,0.9677827226557639,1.0880046785951354,237.77471282020704,0.8895023538918916,0.9242370208387164,0.9624180094892713
8,9,193.2,268.07098609,0.7207046268525925,0.7796729223291214,247.79621616568716,0.9243679063518423,0.9265559596968718,0.9976385092318166
9,10,263.7,268.82990518,0.9809176543191308,1.0156554905263715,259.6352822976769,0.9657976188468813,0.9539314119954673,1.0124392662849753
10,11,292.5,269.58882427000003,1.0849856287330881,1.116666908549372,261.94024176822603,0.9716287107876781,1.0030087701166737,0.9687140728337347
11,12,315.2,270.34774336000004,1.1659057926008793,1.0880046785951354,289.7046365710447,1.071599980715462,0.9622517112156354,1.1136379059920656
12,13,178.3,271.10666245000004,0.6576747262081164,0.7796729223291214,228.6856384179194,0.8435264421437657,0.9697510112788245,0.8698381670480502
13,14,274.5,271.86558154,1.009690150717414,1.0156554905263715,270.2688092177183,0.9941266109772459,0.9359962149407385,1.062105375116488
14,15,295.4,272.62450063,1.0835416454404088,1.116666908549372,264.53725613105627,0.9703355917012039,0.9757791918057929,0.9944212787582455
15,16,286.4,273.38341972,1.0476129104439895,1.0880046785951354,263.2341621635381,0.962875372738929,0.9419595441645683,1.0222045932905868
16,17,190.8,274.14233881,0.6959888094200505,0.7796729223291214,244.71800230027492,0.8926676680535719,0.9330980476559209,0.9566708132077695
17,18,263.5,274.9012579,0.9585259886146195,1.0156554905263715,259.43836513249096,0.9437511021752619,0.9573623187633103,0.9857825858389424
18,19,318.8,275.66017699,1.1564963916117812,1.116666908549372,285.4924754725144,1.0356681860610975,0.9981880330143214,1.0375481891258442
19,20,305.3,276.41909608000003,1.1044823036091596,1.0880046785951354,280.6054109934643,1.0151448108066048,1.0577996161851768,0.9596759114619446
20,21,242.6,277.17801517000004,0.8752497915507746,0.7796729223291214,311.15611822875627,1.1225858516878282,1.0890243504716182,1.0308179529701753
21,22,318.8,277.93693426000004,1.1470227979911947,1.0156554905263715,313.88596130640656,1.1293423889204213,1.1036728949928027,1.0232582443983875
22,23,329.6,278.69585335,1.1826512523890051,1.116666908549372,295.164115168572,1.0590904443701583,1.1002522792541807,0.9625887301847497
23,24,338.2,279.45477244,1.2102137209791715,1.0880046785951354,310.8442515492618,1.1123240044719624,1.0779261429274773,1.0319111488019632
24,25,232.1,280.21369153,0.828296428817259,0.7796729223291214,297.6889325675776,1.0623639799403115,1.0584963782068744,1.0036538639272332
25,26,285.6,280.97261062,1.0164691831342176,1.0156554905263715,281.19771188553864,1.0008011502083491,0.9960494748372483,1.0047705214360736
26,27,291.0,281.73152971,1.0328982357762386,1.116666908549372,260.5969584771069,0.924983294363084,0.9471167481221351,0.9766307017556859
27,28,281.4,282.4904488,0.9961398737386266,1.0880046785951354,258.6385936900126,0.915565799794972,,
