Date,Open,High,Low,Close,Volume
11/03/2019 16:00:00,3805,3805,3737,3756,71418807
12/03/2019 16:00:00,3785,3795,3717,3737,81456441
13/03/2019 16:00:00,3707,3717,3688,3707,86180111
14/03/2019 16:00:00,3688,3776,3688,3776,141701900
15/03/2019 16:00:00,3805,3883,3795,3883,206348149
18/03/2019 16:00:00,3893,3941,3883,3941,121366606
19/03/2019 16:00:00,3941,3951,3873,3893,98182268
20/03/2019 16:00:00,3863,3912,3863,3883,124336777
21/03/2019 16:00:00,3912,3941,3873,3883,145663585
22/03/2019 16:00:00,3932,3971,3902,3961,125895932
25/03/2019 16:00:00,3932,3941,3893,3902,123027733
26/03/2019 16:00:00,3951,3980,3912,3961,105064412
27/03/2019 16:00:00,3980,3980,3941,3941,87709012
28/03/2019 16:00:00,3971,4000,3932,4000,87405512
29/03/2019 16:00:00,3951,4039,3951,4019,134440621
01/04/2019 16:00:00,4039,4058,4029,4039,85943221
02/04/2019 16:00:00,4068,4068,4029,4049,65548469
04/04/2019 16:00:00,4078,4176,4039,4117,83650791
05/04/2019 16:00:00,4156,4185,4146,4156,70469453
08/04/2019 16:00:00,4185,4185,4107,4185,102170389
09/04/2019 16:00:00,4176,4244,4156,4205,108377346
10/04/2019 16:00:00,4195,4215,4156,4215,133969524
11/04/2019 16:00:00,4195,4215,4176,4195,203364149
12/04/2019 16:00:00,4195,4215,4176,4205,123472084
15/04/2019 16:00:00,4244,4254,4205,4244,65765154
16/04/2019 16:00:00,4224,4254,4215,4234,93109694
18/04/2019 16:00:00,4341,4615,4273,4351,186588008
22/04/2019 16:00:00,4351,4351,4302,4332,104513781
23/04/2019 16:00:00,4302,4341,4302,4322,56212459
24/04/2019 16:00:00,4302,4322,4293,4293,177132355
25/04/2019 16:00:00,4273,4283,4156,4224,189076928
26/04/2019 16:00:00,4137,4254,4107,4224,136197395
29/04/2019 16:00:00,4185,4244,4176,4234,78840515
30/04/2019 16:00:00,4283,4302,4234,4263,131000586
02/05/2019 16:00:00,4312,4312,4234,4263,130075713
03/05/2019 16:00:00,4224,4293,4205,4273,112223503
06/05/2019 16:00:00,4195,4195,4088,4127,146586705
07/05/2019 16:00:00,4107,4176,4107,4146,115610141
08/05/2019 16:00:00,4146,4146,4078,4117,123157701
09/05/2019 16:00:00,4039,4058,4019,4019,167425399
10/05/2019 16:00:00,4000,4058,3990,4019,123291369
13/05/2019 16:00:00,4029,4039,4000,4000,73674969
14/05/2019 16:00:00,3902,3990,3873,3951,117968996
15/05/2019 16:00:00,3951,3961,3795,3795,171581405
16/05/2019 16:00:00,3844,3893,3727,3766,147698842
17/05/2019 16:00:00,3815,3815,3678,3698,159080796
20/05/2019 16:00:00,3707,3756,3571,3658,169409629
21/05/2019 16:00:00,3707,3746,3619,3658,211698214
22/05/2019 16:00:00,3619,3737,3619,3678,121601021
23/05/2019 16:00:00,3727,3795,3707,3756,214459996
24/05/2019 16:00:00,3688,3834,3678,3756,154160115
27/05/2019 16:00:00,3805,3873,3766,3824,126669295
28/05/2019 16:00:00,3834,3854,3717,3717,386041704
29/05/2019 16:00:00,3795,3854,3766,3844,143207658
31/05/2019 16:00:00,3893,4019,3883,4000,267634828
10/06/2019 16:00:00,4117,4166,4098,4127,201666217
