Date,Open,High,Low,Close,Adj Close,Volume
2013-01-02,7500.000000,7700.000000,7450.000000,7500.000000,5121.003418,23374000
2013-01-03,7850.000000,7900.000000,7500.000000,7850.000000,5359.983398,70205000
2013-01-04,7850.000000,7850.000000,7750.000000,7850.000000,5359.983398,29485000
2013-01-07,7750.000000,7850.000000,7700.000000,7750.000000,5291.703125,20890000
2013-01-08,7650.000000,7800.000000,7600.000000,7650.000000,5223.422852,24269500
2013-01-09,7700.000000,7750.000000,7650.000000,7700.000000,5257.562500,38907000
2013-01-10,7350.000000,7700.000000,7300.000000,7350.000000,5018.583496,50290500
2013-01-11,7300.000000,7500.000000,7300.000000,7300.000000,4984.443848,33422500
2013-01-14,7500.000000,7500.000000,7350.000000,7500.000000,5121.003418,28014000
2013-01-15,7600.000000,7600.000000,7500.000000,7600.000000,5189.283691,32451000
2013-01-16,7650.000000,7650.000000,7500.000000,7650.000000,5223.422852,23595000
2013-01-17,7500.000000,7650.000000,7500.000000,7500.000000,5121.003418,27764000
2013-01-18,7750.000000,7750.000000,7550.000000,7750.000000,5291.703125,34305000
2013-01-21,7700.000000,7800.000000,7650.000000,7700.000000,5257.562500,16442000
2013-01-22,7750.000000,7750.000000,7650.000000,7750.000000,5291.703125,31118500
2013-01-23,7800.000000,7800.000000,7700.000000,7800.000000,5325.843262,25210500
2013-01-25,7800.000000,7850.000000,7700.000000,7800.000000,5325.843262,42926500
2013-01-28,7750.000000,7800.000000,7650.000000,7750.000000,5291.703125,21154500
2013-01-29,7700.000000,7800.000000,7650.000000,7700.000000,5257.562500,26325000
2013-01-30,7600.000000,7750.000000,7550.000000,7600.000000,5189.283691,35004000
2013-01-31,7350.000000,7600.000000,7350.000000,7350.000000,5018.583496,65034000
2013-02-01,7450.000000,7550.000000,7400.000000,7450.000000,5086.862793,46173500
2013-02-04,7600.000000,7650.000000,7500.000000,7600.000000,5189.283691,47980000
2013-02-05,7600.000000,7600.000000,7450.000000,7600.000000,5189.283691,20936000
2013-02-06,7550.000000,7700.000000,7550.000000,7550.000000,5155.143555,20343500
2013-02-07,7650.000000,7700.000000,7600.000000,7650.000000,5223.422852,24702000
2013-02-08,7750.000000,7800.000000,7650.000000,7750.000000,5291.703125,47117500
2013-02-11,7700.000000,7800.000000,7700.000000,7700.000000,5257.562500,8715500
2013-02-12,7750.000000,7800.000000,7650.000000,7750.000000,5291.703125,12323000
2013-02-13,7800.000000,7800.000000,7700.000000,7800.000000,5325.843262,30904000
2013-02-14,7750.000000,7800.000000,7700.000000,7750.000000,5291.703125,28707000
2013-02-15,7750.000000,7750.000000,7700.000000,7750.000000,5291.703125,17344000
2013-02-18,7700.000000,7800.000000,7700.000000,7700.000000,5257.562500,13981500
2013-02-19,7700.000000,7750.000000,7600.000000,7700.000000,5257.562500,27645000
2013-02-20,7750.000000,7750.000000,7650.000000,7750.000000,5291.703125,29309000
2013-02-21,7750.000000,7900.000000,7750.000000,7750.000000,5291.703125,57245000
2013-02-22,7800.000000,7850.000000,7700.000000,7800.000000,5325.843262,3
2013-02-25,7850.000000,7900.000000,7800.000000,7850.000000,5359.983398,29887000
2013-02-26,7800.000000,7900.000000,7750.000000,7800.000000,5325.843262,29710000
2013-02-27,7900.000000,7950.000000,7850.000000,7900.000000,5394.123047,44216000
2013-02-28,7950.000000,8000.000000,7850.000000,7950.000000,5428.263672,35571000
2013-03-01,8100.000000,8150.000000,7950.000000,8100.000000,5530.683594,58368000
2013-03-04,8100.000000,8100.000000,8100.000000,8100.000000,5530.683594,0
2013-03-05,8100.000000,8150.000000,8000.000000,8100.000000,5530.683594,36076000
2013-03-06,8100.000000,8150.000000,8000.000000,8100.000000,5530.683594,28889500
2013-03-07,8200.000000,8200.000000,8100.000000,8200.000000,5598.963867,36541500
2013-03-08,8300.000000,8300.000000,8200.000000,8300.000000,5667.243652,35325500
2013-03-11,8050.000000,8300.000000,8050.000000,8050.000000,5496.543945,29452500
2013-03-13,7950.000000,8050.000000,7850.000000,7950.000000,5428.263672,44721500
2013-03-14,7950.000000,8000.000000,7750.000000,7750.000000,5291.703125,4
2013-03-15,7750.000000,7900.000000,7600.000000,7600.000000,5189.283691,4
2013-03-18,7650.000000,7750.000000,7650.000000,7700.000000,5257.562500,4
2013-03-19,7750.000000,7800.000000,7650.000000,7650.000000,5223.422852,4
2013-03-20,7700.000000,7750.000000,7650.000000,7700.000000,5257.562500,34015500
2013-03-21,7650.000000,7700.000000,7550.000000,7600.000000,5189.283691,4
2013-03-22,7500.000000,7650.000000,7500.000000,7500.000000,5121.003418,41430000
